City,Label,Value description,Value
Hong Kong,Prices: Total expenditure on goods and services,(USD),2810.3484642768767
Istanbul,Prices: Total expenditure on goods and services,(USD),1937.290281296107
Jakarta,Prices: Total expenditure on goods and services,(USD),2087.768499049721
Johannesburg,Prices: Total expenditure on goods and services,(USD),2287.112952177317
Kiev,Prices: Total expenditure on goods and services,(USD),1617.5937864910593
Kuala Lumpur,Prices: Total expenditure on goods and services,(USD),2103.283928816558
Lagos,Prices: Total expenditure on goods and services,(USD),1493.0693846969841
Lima,Prices: Total expenditure on goods and services,(USD),2092.537014056601
Lisbon,Prices: Total expenditure on goods and services,(USD),2571.328843483047
Ljubljana,Prices: Total expenditure on goods and services,(USD),2543.4289460166683
London,Prices: Total expenditure on goods and services,(USD),3411.64000004212
Los Angeles,Prices: Total expenditure on goods and services,(USD),3059.5792187814527
Luxembourg,Prices: Total expenditure on goods and services,(USD),3270.0463476295117
Lyon,Prices: Total expenditure on goods and services,(USD),2917.9592024241297
Madrid,Prices: Total expenditure on goods and services,(USD),2775.753077795225
Manama,Prices: Total expenditure on goods and services,(USD),2599.6624265537966
Manila,Prices: Total expenditure on goods and services,(USD),1661.762770597391
Mexico City,Prices: Total expenditure on goods and services,(USD),1872.716833626735
Miami,Prices: Total expenditure on goods and services,(USD),3008.5516015321537
Milan,Prices: Total expenditure on goods and services,(USD),3505.071713005689
Montreal,Prices: Total expenditure on goods and services,(USD),2988.8780319083085
Moscow,Prices: Total expenditure on goods and services,(USD),2264.3187544820194
Mumbai,Prices: Total expenditure on goods and services,(USD),1711.729171838931
Munich,Prices: Total expenditure on goods and services,(USD),3048.052717166899
Nairobi,Prices: Total expenditure on goods and services,(USD),1937.0807122023893
New Delhi,Prices: Total expenditure on goods and services,(USD),1690.298410060966
New York,Prices: Total expenditure on goods and services,(USD),3673.0401225362903
Nicosia,Prices: Total expenditure on goods and services,(USD),2667.8340635111877
Oslo,Prices: Total expenditure on goods and services,(USD),3958.1340388234694
Panama City,Prices: Total expenditure on goods and services,(USD),3051.676613059813
Paris,Prices: Total expenditure on goods and services,(USD),3351.4426293893603
Prague,Prices: Total expenditure on goods and services,(USD),2327.4784551125467
Riga,Prices: Total expenditure on goods and services,(USD),2118.175139519505
Rio de Janeiro,Prices: Total expenditure on goods and services,(USD),2216.3054322656367
Riyadh,Prices: Total expenditure on goods and services,(USD),2093.4472004049785
Rome,Prices: Total expenditure on goods and services,(USD),2975.3631258589976
Santiago de Chile,Prices: Total expenditure on goods and services,(USD),2377.3981473226204
Sao Paulo,Prices: Total expenditure on goods and services,(USD),2287.658134838964
Seoul,Prices: Total expenditure on goods and services,(USD),3242.184218304613
Shanghai,Prices: Total expenditure on goods and services,(USD),2391.6139432150403
Sofia,Prices: Total expenditure on goods and services,(USD),1862.8114092792916
St Petersburg,Prices: Total expenditure on goods and services,(USD),2297.8866398298946
Stockholm,Prices: Total expenditure on goods and services,(USD),3270.7291163073296
Sydney,Prices: Total expenditure on goods and services,(USD),3353.341376101484
Taipei,Prices: Total expenditure on goods and services,(USD),2890.419173297121
Tallinn,Prices: Total expenditure on goods and services,(USD),2577.6765868212005
Tel Aviv,Prices: Total expenditure on goods and services,(USD),3137.739497564301
Tokyo,Prices: Total expenditure on goods and services,(USD),3654.462614887188
Toronto,Prices: Total expenditure on goods and services,(USD),2973.8544635082326
Vienna,Prices: Total expenditure on goods and services,(USD),3049.0705096986676
Vilnius,Prices: Total expenditure on goods and services,(USD),2198.9501959024747
Warsaw,Prices: Total expenditure on goods and services,(USD),2084.9688439900883
Zagreb,Prices: Total expenditure on goods and services,(USD),2735.313822967447
Zurich,Prices: Total expenditure on goods and services,(USD),4260.591922904657
Amsterdam,Prices: Food,(USD),339.3796760929058
Athens,Prices: Food,(USD),308.3765598365419
Auckland,Prices: Food,(USD),407.2802176982681
Bangkok,Prices: Food,(USD),394.72028093774253
Barcelona,Prices: Food,(USD),303.1854619724251
Beijing,Prices: Food,(USD),342.0480242084536
Berlin,Prices: Food,(USD),354.3286475937572
Bogotá,Prices: Food,(USD),252.63578080803003
Bratislava,Prices: Food,(USD),275.44144902707967
Brussels,Prices: Food,(USD),342.27462320858535
Bucharest,Prices: Food,(USD),200.90868367988955
Budapest,Prices: Food,(USD),305.0331572330799
Buenos Aires,Prices: Food,(USD),222.45847223188034
Cairo,Prices: Food,(USD),176.6810486498388
Chicago,Prices: Food,(USD),473.69412274163284
Copenhagen,Prices: Food,(USD),501.3015555640417
Doha,Prices: Food,(USD),315.53596798048517
Dubai,Prices: Food,(USD),324.2453095
Dublin,Prices: Food,(USD),381.15612228601145
Frankfurt,Prices: Food,(USD),375.6082905029762
Geneva,Prices: Food,(USD),705.7663522578507
Hanoi,Prices: Food,(USD),257.49242467312587
Helsinki,Prices: Food,(USD),415.78230786390407
Hong Kong,Prices: Food,(USD),359.1199201500001
Istanbul,Prices: Food,(USD),302.7419078015695
Jakarta,Prices: Food,(USD),287.4942621960971
Johannesburg,Prices: Food,(USD),259.76214678153815
Kiev,Prices: Food,(USD),155.0838072102445
Kuala Lumpur,Prices: Food,(USD),444.171757031643
Lagos,Prices: Food,(USD),156.79609382535213
Lima,Prices: Food,(USD),253.82355265384317
Lisbon,Prices: Food,(USD),303.0780633704746
Ljubljana,Prices: Food,(USD),350.2030952888675
London,Prices: Food,(USD),393.22971221876185
Los Angeles,Prices: Food,(USD),404.07845909090906
Luxembourg,Prices: Food,(USD),406.56735633333335
Lyon,Prices: Food,(USD),369.249378480641
Madrid,Prices: Food,(USD),298.69703864383894
Manama,Prices: Food,(USD),387.348688956124
Manila,Prices: Food,(USD),214.04131083382995
Mexico City,Prices: Food,(USD),206.20229749164758
Miami,Prices: Food,(USD),417.5984620854299
Milan,Prices: Food,(USD),366.86509170997
Montreal,Prices: Food,(USD),416.340943793991
Moscow,Prices: Food,(USD),228.6431181200855
Mumbai,Prices: Food,(USD),280.0110965167869
Munich,Prices: Food,(USD),404.746465855856
Nairobi,Prices: Food,(USD),229.07507625348433
New Delhi,Prices: Food,(USD),265.27336975217156
New York,Prices: Food,(USD),478.88499871093717
Nicosia,Prices: Food,(USD),320.58897179643947
Oslo,Prices: Food,(USD),499.44439340844525
Panama,Prices: Food,(USD),336.2467232655364
Paris,Prices: Food,(USD),426.4270826662336
Prague,Prices: Food,(USD),297.43983000788535
Riga,Prices: Food,(USD),235.90979644835926
Rio de Janeiro,Prices: Food,(USD),252.49020669409165
Riyadh,Prices: Food,(USD),209.39337818750232
Rome,Prices: Food,(USD),343.4701723306979
Santiago de Chile,Prices: Food,(USD),289.782320768569
São Paulo,Prices: Food,(USD),253.8416600905914
Seoul,Prices: Food,(USD),592.569696765974
Shanghai,Prices: Food,(USD),362.391257691925
Sofia,Prices: Food,(USD),221.7519305491143
St Petersburg,Prices: Food,(USD),276.4982650053526
Stockholm,Prices: Food,(USD),405.0449153207415
Sydney,Prices: Food,(USD),397.72767530389615
Taipei,Prices: Food,(USD),439.260323763413
Tallinn,Prices: Food,(USD),320.2894868177149
Tel Aviv,Prices: Food,(USD),410.45921173279214
Tokyo,Prices: Food,(USD),529.0137357904681
Toronto,Prices: Food,(USD),349.26683982013174
Vienna,Prices: Food,(USD),423.25921065720894
Vilnius,Prices: Food,(USD),252.75215802972758
Warsaw,Prices: Food,(USD),258.31521237982156
Zagreb,Prices: Food,(USD),273.50390806616235
Zurich,Prices: Food,(USD),629.3238101596509
